Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Value
2006/07,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,8840
2006/07,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,7540
2006/07,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,13080
2006/07,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2190
2006/07,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,210
2006/07,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,2820
2006/07,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,8310
2006/07,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,1910
2006/07,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1100
2006/07,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3790
2006/07,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2300
2006/07,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6790
2006/07,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1700
2006/07,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,18350
2006/07,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,240
2006/07,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2006/07,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,34200
2006/07,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7060
2006/07,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,330
2006/07,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,6260
2005/06,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,15360
2005/06,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2890
2005/06,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,9290
2005/06,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,9340
2005/06,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1100
2005/06,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,460
2005/06,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,240
2005/06,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,160
2005/06,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,60
2005/06,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,610
2005/06,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,200
2005/06,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1340
2005/06,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,100
2005/06,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,4220
2005/06,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,990
2005/06,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,6980
2005/06,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,1000
2005/06,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,40
2005/06,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,400
2005/06,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2005/06,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,250
2005/06,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,130
2005/06,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,50
2005/06,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,170
2005/06,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1300
2005/06,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2005/06,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,2950
2005/06,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,20
2005/06,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,20
2005/06,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2190
2005/06,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,20780
2005/06,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,210
2005/06,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,340
2005/06,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,2540
2005/06,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,1040
2005/06,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,5590
2005/06,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,19130
2005/06,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,23000
2005/06,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,790
2005/06,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1570
2005/06,C50,Breast,Narrow,Cancer,Partly attributable chronic,18490
2005/06,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,8750
2005/06,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,6390
2005/06,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,12760
2005/06,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2190
2005/06,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,210
2005/06,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,2630
2005/06,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,7960
2005/06,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,1860
2005/06,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1090
2005/06,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,4010
2005/06,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2150
2005/06,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6920
2005/06,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1700
2005/06,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,17570
2005/06,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,240
2005/06,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2005/06,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,32130
2005/06,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7120
2005/06,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,310
2005/06,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5730
2004/05,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,12240
2004/05,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2910
2004/05,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,10340
2004/05,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8030
2004/05,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1000
2004/05,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,450
2004/05,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,250
2004/05,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,180
2004/05,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,60
2004/05,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,590
2004/05,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,210
2004/05,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1250
2004/05,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,110
2004/05,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,3810
2004/05,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,890
2004/05,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,6800
2004/05,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,1030
2004/05,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,30
2004/05,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,490
2004/05,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2004/05,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,250
2004/05,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,140
2004/05,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,30
2004/05,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,210
2004/05,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1160
2004/05,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2004/05,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,2730
2004/05,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2004/05,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,20
2004/05,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,1890
2004/05,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,16690
2004/05,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,220
2004/05,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,280
2004/05,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1950
2004/05,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,930
2004/05,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,5040
2004/05,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,17460
2004/05,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,21920
2004/05,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,680
2004/05,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1430
2004/05,C50,Breast,Narrow,Cancer,Partly attributable chronic,17510
2004/05,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,8140
2004/05,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,5110
2004/05,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,11750
2004/05,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2070
2004/05,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,220
2004/05,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,2490
2004/05,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,7410
2004/05,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,1630
2004/05,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1040
2004/05,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3790
2004/05,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2020
2004/05,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6440
2004/05,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1510
2004/05,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,15920
2004/05,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,240
2004/05,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2004/05,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,30120
2004/05,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,6380
2004/05,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,440
2004/05,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5410
2003/04,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,9760
2003/04,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2490
2003/04,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,10180
2003/04,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,6780
2003/04,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,980
2003/04,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,420
2003/04,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,260
2003/04,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,200
2003/04,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,60
2003/04,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,620
2003/04,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,160
2003/04,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1240
2003/04,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,100
2003/04,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,3430
2003/04,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,810
2003/04,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,6490
2003/04,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,880
2003/04,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,40
2003/04,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,470
2003/04,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,10
2003/04,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,250
2003/04,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,110
2003/04,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,50
2003/04,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,210
2003/04,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,990
2003/04,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2003/04,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,2470
2003/04,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2003/04,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,40
2003/04,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,1720
2003/04,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,14230
2003/04,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,120
2003/04,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,230
2003/04,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1670
2003/04,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,950
2003/04,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,4700
2003/04,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,17540
2003/04,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,22180
2003/04,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,650
2003/04,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1390
2003/04,C50,Breast,Narrow,Cancer,Partly attributable chronic,16430
2003/04,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,7640
2003/04,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,4230
2003/04,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,11340
2003/04,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2090
2003/04,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,210
2003/04,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,2430
2003/04,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,6920
2003/04,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,1660
2003/04,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1040
2003/04,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3630
2003/04,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,1950
2003/04,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6350
2003/04,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1330
2003/04,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,14720
2003/04,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,230
2003/04,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2003/04,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,28480
2003/04,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,5850
2003/04,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,380
2003/04,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,4960
,,,,,,
,22,,,,,20
